Factor,Eigenvalue,Difference,Proportion,Cumulative
Factor1,5.39037,1.09285,0.4185,0.4185
Factor2,4.29752,2.58503,0.3336,0.7521
Factor3,1.71249,0.8423,0.133,0.8851
Factor4,0.87019,0.49412,0.0676,0.9526
Factor5,0.37608,0.15284,0.0292,0.9818
Factor6,0.22323,0.10513,0.0173,0.9992
Factor7,0.1181,0.07736,0.0092,1.0083
Factor8,0.04074,0.03077,0.0032,1.0115
Factor9,0.00996,0.00959,0.0008,1.0123
Factor10,0.00037,0.00126,0,1.0123
Factor11,-0.00089,0.00908,-0.0001,1.0122
Factor12,-0.00997,0.00624,-0.0008,1.0115
Factor13,-0.01621,0.00347,-0.0013,1.0102
Factor14,-0.01968,0.02626,-0.0015,1.0087
Factor15,-0.04594,0.01987,-0.0036,1.0051
Factor16,-0.06581,.,-0.0051,1
