year,DMDC,Kane,totalworld
1980,2050758,2050826,2050826
1981,2093032,2082897,2082897
1982,2112609,2108612,2108612
1983,2123909,2123349,2123349
1984,2138339,2138157,2138157
1985,2150379,2151032,2151032
1986,2177845,2169112,2169112
1987,2166611,2174217,2174217
1988,2121659,2138213,2138213
1989,2112128,2130229,2130229
1990,2046806,2046144,2046144
1991,1943937,1986259,1986259
1992,1773996,1807177,1807177
1993,1675269,1705103,1705103
1994,1581649,1610490,1610490
1995,1502343,1518224,1518224
1996,1456266,1471722,1471722
1997,1418773,1438562,1438562
1998,1381034,1406830,1406830
1999,1367838,1385703,1385703
2000,1372352,1384338,1400000
2001,1384812,1385116,1400000
2002,1411200,1411634,1400000
2003,1423348,1434377,1400000
2004,1411287,1426836,1400000
2005,1378014,1426836,1400000
2006,1371533,1384960,1400000
2007,1368226,1379551,1400000
2008,1402227,1401757,1400000
2009,1421668,1418542,1400000
2010,1430985,1430985,1400000
2011,,1425113,1400000
2012,,1388028,1400000
2013,,1370329,1400000
2014,,1326273,1300000
2015,,1302941,1300000
2016,,,1302941
2017,,,1302941
2018,,,1302941
2019,,,1302941
